MFAS cSEL,MFAS RL,Sonar before EOE?,Whale ID,Start Time (UTC),Previous State,State,Switched to Variant State?,N Variant Dive Cycles,Variant State Duration (hr)
69.9,76.3,No,Zica-20220112-195994,2022-01-12T20:38:10Z,Typical,Typical,No,NA,NA
71.3,77.6,No,Zica-20220112-195994,2022-01-12T18:45:25Z,Variant,Typical,No,NA,NA
80.9,81.8,No,Zica-20211112-94819,2021-11-15T09:53:35Z,Typical,Typical,No,NA,NA
87.4,88.9,No,Zica-20211112-94819,2021-11-18T17:52:40Z,Typical,Typical,No,NA,NA
87.7,89.2,Yes,Zica-20211112-94819,2021-11-15T07:05:27Z,Typical,Typical,No,NA,NA
91.5,88.5,No,Zica-20230723-233394,2023-07-24T23:34:28Z,Typical,Typical,No,NA,NA
102.6,95.1,No,Zica-20191012-145101,2019-10-13T17:57:13Z,Typical,Typical,No,NA,NA
105.5,93.4,No,Zica-20230519-232950,2023-05-23T14:27:41Z,Typical,Typical,No,NA,NA
107.8,102.8,No,Zica-20220112-195994,2022-01-13T17:56:47Z,Typical,Typical,No,NA,NA
108,97.5,No,Zica-20191111-94810,2019-11-16T04:23:21Z,Typical,Typical,No,NA,NA
108,105.5,No,Zica-20211112-94819,2021-11-19T05:37:29Z,Typical,Typical,No,NA,NA
109.6,104.9,No,Zica-20230723-233394,2023-07-25T15:21:43Z,Typical,Typical,No,NA,NA
110.6,103.4,Yes,Zica-20191111-94810,2019-11-14T23:00:48Z,Typical,Typical,No,NA,NA
112.2,104.4,No,Zica-20230518-233391,2023-05-24T01:02:36Z,Typical,Typical,No,NA,NA
112.3,105.3,Yes,Zica-20240227-233396,2024-03-06T23:16:40Z,Typical,Typical,No,NA,NA
112.6,106.1,Yes,Zica-20230723-233395,2023-07-25T18:05:29Z,Typical,Variant,Yes,3,2.7
112.8,119,No,Zica-20240227-233396,2024-03-05T17:14:39Z,Typical,Typical,No,NA,NA
115.1,109.6,Yes,Zica-20230723-233395,2023-07-25T03:58:24Z,Typical,Variant,Yes,1,3.5
115.6,107.9,No,Zica-20211113-195993,2021-11-16T20:17:20Z,Variant,Variant,Started Earlier,37,72.4
